frame_idx,x,y,z,yaw,pitch,roll,reprojection_error,process_time,avg_center_x,avg_center_y
160,467.61,-947.32,6824.32,-0.71,-6.46,174.96,0.25,0.0185,-1000000.00,-1000000.00
161,465.32,-943.57,6833.90,-0.33,-3.78,174.82,0.32,0.0185,-1000000.00,-1000000.00
162,462.21,-942.98,6830.84,0.19,-3.47,174.68,0.43,0.0172,-1000000.00,-1000000.00
163,452.95,-943.81,6806.51,2.43,-4.57,174.75,0.40,0.0174,-1000000.00,-1000000.00
164,450.46,-940.52,6797.83,1.00,-4.02,174.84,0.38,0.0180,-1000000.00,-1000000.00
165,444.88,-937.10,6768.26,3.11,-4.81,174.55,0.35,0.0173,-1000000.00,-1000000.00
166,440.83,-933.48,6757.47,1.93,-4.15,174.86,0.24,0.0179,-1000000.00,-1000000.00
167,432.88,-928.10,6718.04,2.59,-6.69,174.85,0.24,0.0170,-1000000.00,-1000000.00
168,428.71,-929.77,6740.98,0.81,-4.59,174.72,0.29,0.0170,-1000000.00,-1000000.00
169,426.36,-927.68,6737.04,-0.34,-2.32,174.81,0.20,0.0210,-1000000.00,-1000000.00
170,420.44,-924.46,6704.70,-0.11,-4.09,174.74,0.30,0.0180,-1000000.00,-1000000.00
171,412.17,-923.48,6686.38,1.23,-3.78,174.73,0.36,0.0183,-1000000.00,-1000000.00
172,406.98,-919.57,6692.60,1.79,-1.60,174.69,0.22,0.0180,-1000000.00,-1000000.00
173,401.49,-915.14,6651.50,0.40,-3.40,174.83,0.38,0.0164,-1000000.00,-1000000.00
174,392.59,-909.87,6595.52,-0.98,-4.53,175.11,0.37,0.0175,-1000000.00,-1000000.00
175,390.85,-906.26,6593.73,-0.32,-4.32,175.05,0.28,0.0172,-1000000.00,-1000000.00
176,385.46,-906.62,6595.67,0.50,-4.42,174.99,0.25,0.0179,-1000000.00,-1000000.00
177,380.58,-901.95,6572.51,0.07,-4.60,174.87,0.21,0.0164,-1000000.00,-1000000.00
178,378.29,-896.63,6559.46,-1.84,-4.27,175.21,0.25,0.0169,-1000000.00,-1000000.00
179,372.48,-896.56,6557.96,1.81,-4.20,174.93,0.28,0.0160,-1000000.00,-1000000.00
180,373.36,-896.91,6579.03,-0.09,-3.08,175.00,0.28,0.0181,-1000000.00,-1000000.00
181,362.96,-889.21,6527.71,0.00,-4.26,174.94,0.33,0.0165,-1000000.00,-1000000.00
182,360.73,-890.10,6538.51,0.52,-3.41,174.93,0.29,0.0170,-1000000.00,-1000000.00
183,354.43,-885.22,6493.55,0.86,-5.06,174.87,0.26,0.0176,-1000000.00,-1000000.00
184,353.28,-881.66,6501.95,1.29,-2.87,174.83,0.30,0.0159,-1000000.00,-1000000.00
185,350.55,-882.02,6504.48,-0.34,-3.04,175.03,0.36,0.0203,-1000000.00,-1000000.00
186,346.31,-876.41,6467.78,-0.57,-4.34,174.82,0.40,0.0184,-1000000.00,-1000000.00
187,341.97,-876.09,6447.83,1.02,-5.33,174.78,0.23,0.0178,-1000000.00,-1000000.00
188,338.48,-868.41,6414.33,-0.37,-5.33,174.98,0.32,0.0171,-1000000.00,-1000000.00
189,337.60,-870.58,6453.90,0.31,-3.14,174.72,0.11,0.0162,-1000000.00,-1000000.00
190,334.38,-866.74,6409.12,-0.24,-3.90,175.03,0.21,0.0181,-1000000.00,-1000000.00
191,330.95,-865.05,6418.19,0.14,-4.29,175.03,0.27,0.0171,-1000000.00,-1000000.00
192,323.08,-855.80,6377.62,1.68,-3.12,174.63,0.31,0.0173,-1000000.00,-1000000.00
193,321.68,-855.00,6371.38,1.42,-3.17,174.77,0.26,0.0173,-1000000.00,-1000000.00
194,320.27,-854.18,6364.87,1.18,-3.24,174.89,0.27,0.0170,-1000000.00,-1000000.00
195,317.00,-851.17,6352.07,1.54,-3.58,174.91,0.27,0.0187,-1000000.00,-1000000.00
196,316.05,-848.58,6323.29,0.65,-3.11,174.85,0.25,0.0184,-1000000.00,-1000000.00
197,315.32,-849.27,6327.41,0.16,-3.37,174.98,0.27,0.0201,-1000000.00,-1000000.00
198,307.84,-844.18,6295.44,2.16,-4.18,174.72,0.43,0.0179,-1000000.00,-1000000.00
199,307.13,-844.36,6316.03,0.73,-2.94,174.91,0.38,0.0188,-1000000.00,-1000000.00
200,305.79,-842.20,6279.50,0.14,-4.51,174.94,0.32,0.0192,-1000000.00,-1000000.00
201,303.78,-841.88,6277.80,-0.73,-4.43,175.00,0.35,0.0182,-1000000.00,-1000000.00
202,303.67,-836.74,6139.08,-1.55,-12.74,176.09,1.23,0.0190,-1000000.00,-1000000.00
203,304.57,-836.76,6130.62,-1.79,-12.13,175.99,1.28,0.0180,-1000000.00,-1000000.00
204,294.13,-831.41,6216.89,0.49,-3.04,175.11,0.23,0.0191,-1000000.00,-1000000.00
205,294.13,-831.41,6216.89,0.49,-3.04,175.11,0.23,0.0174,-1000000.00,-1000000.00
206,285.80,-824.60,6156.47,-0.05,-4.64,174.90,0.24,0.0175,-1000000.00,-1000000.00
207,285.33,-823.30,6156.12,0.55,-2.86,175.02,0.26,0.0168,-1000000.00,-1000000.00
208,283.91,-823.89,6135.30,-0.64,-3.33,175.00,0.35,0.0172,-1000000.00,-1000000.00
209,283.83,-821.41,6132.18,-0.84,-2.59,175.08,0.32,0.0178,-1000000.00,-1000000.00
210,278.92,-822.97,6099.74,-0.79,-4.36,175.01,0.41,0.0206,-1000000.00,-1000000.00
211,279.34,-819.10,6098.96,-1.68,-3.41,175.09,0.39,0.0185,-1000000.00,-1000000.00
212,277.91,-818.29,6091.98,-1.79,-3.57,175.21,0.31,0.0219,-1000000.00,-1000000.00
213,274.21,-815.47,6056.77,-2.08,-4.03,175.10,0.40,0.0185,-1000000.00,-1000000.00
214,269.76,-811.31,6026.44,-2.75,-3.86,175.38,0.41,0.0199,-1000000.00,-1000000.00
215,267.87,-809.33,6008.03,-2.82,-4.47,175.39,0.51,0.0178,-1000000.00,-1000000.00
216,265.85,-810.62,5996.00,-2.23,-4.31,175.30,0.48,0.0172,-1000000.00,-1000000.00
217,264.46,-809.80,5988.87,-2.33,-4.48,175.42,0.40,0.0178,-1000000.00,-1000000.00
218,264.52,-810.71,5983.93,-2.96,-2.65,175.49,0.43,0.0197,-1000000.00,-1000000.00
219,259.93,-808.87,5946.97,-3.50,-4.87,175.44,0.46,0.0185,-1000000.00,-1000000.00
220,259.33,-807.70,5938.26,-3.12,-4.80,175.42,0.33,0.0171,-1000000.00,-1000000.00
221,260.30,-810.12,5935.78,-1.07,-4.38,175.31,0.40,0.0175,-1000000.00,-1000000.00
222,258.86,-806.22,5915.04,-2.03,-4.90,175.30,0.51,0.0183,-1000000.00,-1000000.00
223,255.75,-806.66,5889.75,-2.49,-4.18,175.36,0.48,0.0173,-1000000.00,-1000000.00
224,255.43,-804.87,5865.46,-3.66,-4.31,175.23,0.57,0.0185,-1000000.00,-1000000.00
225,255.92,-802.30,5844.64,-2.15,-4.47,175.08,0.51,0.0171,-1000000.00,-1000000.00
226,254.43,-804.05,5850.50,-1.02,-5.66,175.15,0.40,0.0197,-1000000.00,-1000000.00
227,255.96,-802.75,5826.19,-1.66,-4.48,175.11,0.49,0.0161,-1000000.00,-1000000.00
228,255.96,-802.75,5826.19,-1.66,-4.48,175.11,0.49,0.0180,-1000000.00,-1000000.00
229,255.46,-802.52,5814.13,-1.86,-2.53,175.17,0.37,0.0181,-1000000.00,-1000000.00
230,254.60,-797.80,5766.19,-1.83,-4.80,175.26,0.47,0.0167,-1000000.00,-1000000.00
231,252.70,-799.40,5743.97,-2.02,-5.29,175.14,0.37,0.0183,-1000000.00,-1000000.00
232,253.43,-798.93,5741.33,-1.60,-5.09,175.01,0.34,0.0172,-1000000.00,-1000000.00
233,254.34,-798.07,5720.88,-1.03,-3.83,174.92,0.36,0.0198,-1000000.00,-1000000.00
234,251.96,-797.14,5696.39,-2.34,-5.25,175.02,0.44,0.0160,-1000000.00,-1000000.00
235,250.27,-796.07,5669.87,-1.47,-4.83,174.89,0.46,0.0174,-1000000.00,-1000000.00
236,253.46,-795.98,5693.52,-1.50,-4.18,174.99,0.38,0.0180,-1000000.00,-1000000.00
237,253.60,-797.07,5699.16,-3.24,-2.92,175.08,0.32,0.0184,-1000000.00,-1000000.00
238,251.57,-797.43,5665.20,-2.23,-3.85,175.07,0.45,0.0174,-1000000.00,-1000000.00
239,249.45,-796.26,5666.41,-0.48,-3.80,174.93,0.40,0.0155,-1000000.00,-1000000.00
240,246.79,-795.22,5630.99,-2.17,-3.46,175.10,0.39,0.0185,-1000000.00,-1000000.00
